SampleID,project,sample_type,site_depth_mbss,deployment,core,horizon_depth_cmbsf,mean_horizon_depth,nucl_acid,pcr_replicate,extraction_replicate,gene
S3500-MC04-C2-0cm2.5cm-DNA-Rep1-OC01,OC1703A,Sample,3500,MC04,C2,0cm2.5cm,1.25,DNA,1,1,16S
S3500-MC04-C2-2.5cm5cm-DNA-Rep1-OC01,OC1703A,Sample,3500,MC04,C2,2.5cm5cm,3.75,DNA,1,1,16S
S3500-MC04-C2-5cm10cm-DNA-Rep1-OC01,OC1703A,Sample,3500,MC04,C2,5cm10cm,7.5,DNA,1,1,16S
S3500-MC04-C2-20cm25cm-DNA-Rep1-OC01,OC1703A,Sample,3500,MC04,C2,20cm25cm,22.5,DNA,1,1,16S
S3500-MC04-C2-0cm2.5cm-cDNA-Rep1-OC01,OC1703A,Sample,3500,MC04,C2,0cm2.5cm,1.25,cDNA,1,1,16S
S3500-MC04-C2-2.5cm5cm-cDNA-Rep1-OC01,OC1703A,Sample,3500,MC04,C2,2.5cm5cm,3.75,cDNA,1,1,16S
S3500-MC04-C2-5cm10cm-cDNA-Rep1-OC01,OC1703A,Sample,3500,MC04,C2,5cm10cm,7.5,cDNA,1,1,16S
S3500-MC04-C2-20cm25cm-cDNA-Rep1-OC01,OC1703A,Sample,3500,MC04,C2,20cm25cm,22.5,cDNA,1,1,16S
NA-Negative-NA-NA-NA-Rep1-OC01,OC1703A,Blank,NA,NA,NA,NA,NA,NA,NA,1,16S
S3500-MC04-C2-0cm2.5cm-DNA-Rep2-OC01,OC1703A,Sample,3500,MC04,C2,0cm2.5cm,1.25,DNA,2,1,16S
S3500-MC04-C2-0cm2.5cm-cDNA-Rep2-OC01,OC1703A,Sample,3500,MC04,C2,0cm2.5cm,1.25,cDNA,2,1,16S
S3500-MC04-C2-10cm15cm-DNA-Rep1-OC01,OC1703A,Sample,3500,MC04,C2,10cm15cm,12.5,DNA,1,1,16S
S3500-MC04-C2-15cm20cm-DNA-Rep1-OC01,OC1703A,Sample,3500,MC04,C2,15cm20cm,17.5,DNA,1,1,16S
S3500-MC04-C6-0cm2.5cm-DNA-Rep1-OC01,OC1703A,Sample,3500,MC04,C6,0cm2.5cm,1.25,DNA,1,1,16S
S3500-MC04-C6-2.5cm5cm-DNA-Rep1-OC01,OC1703A,Sample,3500,MC04,C6,2.5cm5cm,3.75,DNA,1,1,16S
S3500-MC04-C6-5cm10cm-DNA-Rep1-OC01,OC1703A,Sample,3500,MC04,C6,5cm10cm,7.5,DNA,1,1,16S
S3500-MC04-C6-10cm15cm-DNA-Rep1-OC01,OC1703A,Sample,3500,MC04,C6,10cm15cm,12.5,DNA,1,1,16S
S3500-MC04-C2-25cm30cm-DNA-Rep1-OC01,OC1703A,Sample,3500,MC04,C2,25cm30cm,27.5,DNA,1,1,16S
S3500-MC04-C6-15cm20cm-DNA-Rep1-OC01,OC1703A,Sample,3500,MC04,C6,15cm20cm,17.5,DNA,1,1,16S
S3500-MC04-C6-20cm25cm-DNA-Rep1-OC01,OC1703A,Sample,3500,MC04,C6,20cm25cm,22.5,DNA,1,1,16S
S3500-MC04-C6-25cm30cm-DNA-Rep1-OC01,OC1703A,Sample,3500,MC04,C6,25cm30cm,27.5,DNA,1,1,16S
S500-MC06-C2-0cm2.5cm-DNA-Rep1-OC01,OC1703A,Sample,500,MC06,C2,0cm2.5cm,1.25,DNA,1,1,16S
S500-MC06-C2-2.5cm5cm-DNA-Rep1-OC01,OC1703A,Sample,500,MC06,C2,2.5cm5cm,3.75,DNA,1,1,16S
S500-MC06-C2-5cm10cm-DNA-Rep1-OC01,OC1703A,Sample,500,MC06,C2,5cm10cm,7.5,DNA,1,1,16S
S500-MC06-C2-10cm15cm-DNA-Rep1-OC01,OC1703A,Sample,500,MC06,C2,10cm15cm,12.5,DNA,1,1,16S
S500-MC06-C2-15cm20cm-DNA-Rep1-OC01,OC1703A,Sample,500,MC06,C2,15cm20cm,17.5,DNA,1,1,16S
S2000-MC10-C3-0cm5cm-DNA-Rep1-OC01,OC1703A,Sample,2000,MC10,C3,0cm5cm,2.5,DNA,1,1,16S
S3500-MC04-C2-10cm15cm-cDNA-Rep1-OC01,OC1703A,Sample,3500,MC04,C2,10cm15cm,12.5,cDNA,1,1,16S
S3500-MC04-C2-15cm20cm-cDNA-Rep1-OC01,OC1703A,Sample,3500,MC04,C2,15cm20cm,17.5,cDNA,1,1,16S
S3500-MC04-C6-0cm2.5cm-cDNA-Rep1-OC01,OC1703A,Sample,3500,MC04,C6,0cm2.5cm,1.25,cDNA,1,1,16S
S3500-MC04-C6-2.5cm5cm-cDNA-Rep1-OC01,OC1703A,Sample,3500,MC04,C6,2.5cm5cm,3.75,cDNA,1,1,16S
S3500-MC04-C6-5cm10cm-cDNA-Rep1-OC01,OC1703A,Sample,3500,MC04,C6,5cm10cm,7.5,cDNA,1,1,16S
S3500-MC04-C6-10cm15cm-cDNA-Rep1-OC01,OC1703A,Sample,3500,MC04,C6,10cm15cm,12.5,cDNA,1,1,16S
S3500-MC04-C2-25cm30cm-cDNA-Rep1-OC01,OC1703A,Sample,3500,MC04,C2,25cm30cm,27.5,cDNA,1,1,16S
S3500-MC04-C6-15cm20cm-cDNA-Rep1-OC01,OC1703A,Sample,3500,MC04,C6,15cm20cm,17.5,cDNA,1,1,16S
S3500-MC04-C6-20cm25cm-cDNA-Rep1-OC01,OC1703A,Sample,3500,MC04,C6,20cm25cm,22.5,cDNA,1,1,16S
S3500-MC04-C6-25cm30cm-cDNA-Rep1-OC01,OC1703A,Sample,3500,MC04,C6,25cm30cm,27.5,cDNA,1,1,16S
S500-MC06-C2-0cm2.5cm-cDNA-Rep1-OC01,OC1703A,Sample,500,MC06,C2,0cm2.5cm,1.25,cDNA,1,1,16S
S500-MC06-C2-2.5cm5cm-cDNA-Rep1-OC01,OC1703A,Sample,500,MC06,C2,2.5cm5cm,3.75,cDNA,1,1,16S
S500-MC06-C2-5cm10cm-cDNA-Rep1-OC01,OC1703A,Sample,500,MC06,C2,5cm10cm,7.5,cDNA,1,1,16S
S500-MC06-C2-10cm15cm-cDNA-Rep1-OC01,OC1703A,Sample,500,MC06,C2,10cm15cm,12.5,cDNA,1,1,16S
S500-MC06-C2-15cm20cm-cDNA-Rep1-OC01,OC1703A,Sample,500,MC06,C2,15cm20cm,17.5,cDNA,1,1,16S
S2000-MC10-C3-0cm5cm-cDNA-Rep1-OC01,OC1703A,Sample,2000,MC10,C3,0cm5cm,2.5,cDNA,1,1,16S
NA-Negative-NA-NA-NA-Rep2-OC01,OC1703A,Blank,NA,NA,NA,NA,NA,NA,NA,1,16S
NA-Positive- NA-NA-NA-Rep1-OC01,OC1703A,Mock,NA,NA,NA,NA,NA,DNA,NA,1,16S
S3500-MC04-C6-0cm2.5cm-DNA-Rep2-OC01,OC1703A,Sample,3500,MC04,C6,0cm2.5cm,1.25,DNA,2,1,16S
S3500-MC04-C6-0cm2.5cm-cDNA-Rep2-OC01,OC1703A,Sample,3500,MC04,C6,0cm2.5cm,1.25,cDNA,2,1,16S
S500-MC06-C2-10cm15cm-DNA-Rep2-OC01,OC1703A,Sample,500,MC06,C2,10cm15cm,12.5,DNA,2,1,16S
S500-MC06-C2-10cm15cm-cDNA-Rep2-OC01,OC1703A,Sample,500,MC06,C2,10cm15cm,12.5,cDNA,2,1,16S
S2000-MC10-C3-0cm5cm-DNA-Rep2-OC01,OC1703A,Sample,2000,MC10,C3,0cm5cm,2.5,DNA,2,1,16S
S2000-MC10-C3-0cm5cm-cDNA-Rep2-OC01,OC1703A,Sample,2000,MC10,C3,0cm5cm,2.5,cDNA,2,1,16S
S2000m-MC10-C3-5cm10cm-DNA-Rep1-OC01,OC1703A,Sample,2000,MC10,C3,5cm10cm,7.5,DNA,1,1,16S
S2000m-MC10-C3-10cm15cm-DNA-Rep1-OC01,OC1703A,Sample,2000,MC10,C3,10cm15cm,12.5,DNA,1,1,16S
S2000m-MC10-C3-15cm20cm-DNA-Rep1-OC01,OC1703A,Sample,2000,MC10,C3,15cm20cm,17.5,DNA,1,1,16S
S2000m-MC10-C6-0cm5cm-DNA-Rep1-OC01,OC1703A,Sample,2000,MC10,C6,0cm5cm,2.5,DNA,1,1,16S
S2000m-MC10-C6-5cm10cm-DNA-Rep1-OC01,OC1703A,Sample,2000,MC10,C6,5cm10cm,7.5,DNA,1,1,16S
S2000m-MC10-C6-10cm15cm-DNA-Rep1-OC01,OC1703A,Sample,2000,MC10,C6,10cm15cm,12.5,DNA,1,1,16S
S2000m-MC10-C6-15cm20cm-DNA-Rep1-OC01,OC1703A,Sample,2000,MC10,C6,15cm20cm,17.5,DNA,1,1,16S
S4000m-MC03-C2-0cm5cm-DNA-Rep1-OC01,OC1703A,Sample,4000,MC03,C2,0cm5cm,2.5,DNA,1,1,16S
S4000m-MC03-C2-5cm10cm-DNA-Rep1-OC01,OC1703A,Sample,4000,MC03,C2,5cm10cm,7.5,DNA,1,1,16S
S4000m-MC03-C2-10cm15cm-DNA-Rep1-OC01,OC1703A,Sample,4000,MC03,C2,10cm15cm,12.5,DNA,1,1,16S
NA-Negative-NA-NA-NA-Rep3-OC01,OC1703A,Blank,NA,NA,NA,NA,NA,NA,NA,1,16S
S2000m-MC10-C3-5cm10cm-cDNA-Rep1-OC01,OC1703A,Sample,2000,MC10,C3,5cm10cm,7.5,cDNA,1,1,16S
S2000m-MC10-C3-10cm15cm-cDNA-Rep1-OC01,OC1703A,Sample,2000,MC10,C3,10cm15cm,12.5,cDNA,1,1,16S
S2000m-MC10-C3-15cm20cm-cDNA-Rep1-OC01,OC1703A,Sample,2000,MC10,C3,15cm20cm,17.5,cDNA,1,1,16S
S2000m-MC10-C6-0cm5cm-cDNA-Rep1-OC01,OC1703A,Sample,2000,MC10,C6,0cm5cm,2.5,cDNA,1,1,16S
S2000m-MC10-C6-5cm10cm-cDNA-Rep1-OC01,OC1703A,Sample,2000,MC10,C6,5cm10cm,7.5,cDNA,1,1,16S
S2000m-MC10-C6-10cm15cm-cDNA-Rep1-OC01,OC1703A,Sample,2000,MC10,C6,10cm15cm,12.5,cDNA,1,1,16S
S2000m-MC10-C6-15cm20cm-cDNA-Rep1-OC01,OC1703A,Sample,2000,MC10,C6,15cm20cm,17.5,cDNA,1,1,16S
S4000m-MC03-C2-0cm5cm-cDNA-Rep1-OC01,OC1703A,Sample,4000,MC03,C2,0cm5cm,2.5,cDNA,1,1,16S
S4000m-MC03-C2-5cm10cm-cDNA-Rep1-OC01,OC1703A,Sample,4000,MC03,C2,5cm10cm,7.5,cDNA,1,1,16S
S4000m-MC03-C2-10cm15cm-cDNA-Rep1-OC01,OC1703A,Sample,4000,MC03,C2,10cm15cm,12.5,cDNA,1,1,16S
S2000m-MC10-C3-5cm10cm-DNA-Rep2-OC01,OC1703A,Sample,2000,MC10,C3,5cm10cm,7.5,DNA,2,1,16S
S2000m-MC10-C6-5cm10cm-DNA-Rep2-OC01,OC1703A,Sample,2000,MC10,C6,5cm10cm,7.5,DNA,2,1,16S
S2000m-MC10-C3-5cm10cm-cDNA-Rep2-OC01,OC1703A,Sample,2000,MC10,C3,5cm10cm,7.5,cDNA,2,1,16S
S2000m-MC10-C6-5cm10cm-cDNA-Rep2-OC01,OC1703A,Sample,2000,MC10,C6,5cm10cm,7.5,cDNA,2,1,16S
S4000m-MC03-C2-15cm20cm-DNA-Rep1-OC01,OC1703A,Sample,4000,MC03,C2,15cm20cm,17.5,DNA,1,1,16S
S4000m-MC03-C2-20cm25cm-DNA-Rep1-OC01,OC1703A,Sample,4000,MC03,C2,20cm25cm,22.5,DNA,1,1,16S
S4000m-MC03-C6-0cm2.5cm-DNA-Rep1-OC01,OC1703A,Sample,4000,MC03,C6,0cm2.5cm,1.25,DNA,1,1,16S
S4000m-MC03-C6-2.5cm5cm-DNA-Rep1-OC01,OC1703A,Sample,4000,MC03,C6,2.5cm5cm,3.75,DNA,1,1,16S
S4000m-MC03-C6-5cm10cm-DNA-Rep1-OC01,OC1703A,Sample,4000,MC03,C6,5cm10cm,7.5,DNA,1,1,16S
S4000m-MC03-C6-10cm15cm-DNA-Rep1-OC01,OC1703A,Sample,4000,MC03,C6,10cm15cm,12.5,DNA,1,1,16S
S4000m-MC03-C6-15cm20cm-DNA-Rep1-OC01,OC1703A,Sample,4000,MC03,C6,15cm20cm,17.5,DNA,1,1,16S
S4000m-MC03-C6-20cm25cm-DNA-Rep1-OC01,OC1703A,Sample,4000,MC03,C6,20cm25cm,22.5,DNA,1,1,16S
S2000m-MC05-C6-0cm2.5cm-DNA-Rep1-OC01,OC1703A,Sample,2000,MC05,C6,0cm2.5cm,1.25,DNA,1,1,16S
S2000m-MC05-C6-2.5cm5cm-DNA-Rep1-OC01,OC1703A,Sample,2000,MC05,C6,2.5cm5cm,3.75,DNA,1,1,16S
S2000m-MC05-C6-5cm10cm-DNA-Rep1-OC01,OC1703A,Sample,2000,MC05,C6,5cm10cm,7.5,DNA,1,1,16S
S2000m-MC05-C6-10cm15cm-DNA-Rep1-OC01,OC1703A,Sample,2000,MC05,C6,10cm15cm,12.5,DNA,1,1,16S
NA-Negative-NA-NA-NA-Rep4-OC01,OC1703A,Blank,NA,NA,NA,NA,NA,NA,NA,1,16S
S4000m-MC03-C2-15cm20cm-cDNA-Rep1-OC01,OC1703A,Sample,4000,MC03,C2,15cm20cm,17.5,cDNA,1,1,16S
S4000m-MC03-C2-20cm25cm-cDNA-Rep1-OC01,OC1703A,Sample,4000,MC03,C2,20cm25cm,22.5,cDNA,1,1,16S
S4000m-MC03-C6-0cm2.5cm-cDNA-Rep1-OC01,OC1703A,Sample,4000,MC03,C6,0cm2.5cm,1.25,cDNA,1,1,16S
S4000m-MC03-C6-2.5cm5cm-cDNA-Rep1-OC01,OC1703A,Sample,4000,MC03,C6,2.5cm5cm,3.75,cDNA,1,1,16S
S4000m-MC03-C6-5cm10cm-cDNA-Rep1-OC01,OC1703A,Sample,4000,MC03,C6,5cm10cm,7.5,cDNA,1,1,16S
S4000m-MC03-C6-10cm15cm-cDNA-Rep1-OC01,OC1703A,Sample,4000,MC03,C6,10cm15cm,12.5,cDNA,1,1,16S
S4000m-MC03-C6-15cm20cm-cDNA-Rep1-OC01,OC1703A,Sample,4000,MC03,C6,15cm20cm,17.5,cDNA,1,1,16S
S4000m-MC03-C6-20cm25cm-cDNA-Rep1-OC01,OC1703A,Sample,4000,MC03,C6,20cm25cm,22.5,cDNA,1,1,16S
S2000m-MC05-C6-0cm2.5cm-cDNA-Rep1-OC01,OC1703A,Sample,2000,MC05,C6,0cm2.5cm,1.25,cDNA,1,1,16S
S2000m-MC05-C6-2.5cm5cm-cDNA-Rep1-OC01,OC1703A,Sample,2000,MC05,C6,2.5cm5cm,3.75,cDNA,1,1,16S
S2000m-MC05-C6-5cm10cm-cDNA-Rep1-OC01,OC1703A,Sample,2000,MC05,C6,5cm10cm,7.5,cDNA,1,1,16S
S2000m-MC05-C6-10cm15cm-cDNA-Rep1-OC01,OC1703A,Sample,2000,MC05,C6,10cm15cm,12.5,cDNA,1,1,16S
S4000m-MC03-C2-15cm20cm-DNA-Rep2-OC01,OC1703A,Sample,4000,MC03,C2,15cm20cm,17.5,DNA,2,1,16S
S4000m-MC03-C6-15cm20cm-DNA-Rep2-OC01,OC1703A,Sample,4000,MC03,C6,15cm20cm,17.5,DNA,2,1,16S
S4000m-MC03-C2-15cm20cm-cDNA-Rep2-OC01,OC1703A,Sample,4000,MC03,C2,15cm20cm,17.5,cDNA,2,1,16S
S4000m-MC03-C6-15cm20cm-cDNA-Rep2-OC01,OC1703A,Sample,4000,MC03,C6,15cm20cm,17.5,cDNA,2,1,16S
S2500m-MC05-C6-15cm20cm-DNA-Rep1-OC01,OC1703A,Sample,2500,MC05,C6,15cm20cm,17.5,DNA,1,1,16S
S2500m-MC05-C6-20cm25cm-DNA-Rep1-OC01,OC1703A,Sample,2500,MC05,C6,20cm25cm,22.5,DNA,1,1,16S
S2500m-MC05-C2-0cm2.5cm-DNA-Rep1-OC01,OC1703A,Sample,2500,MC05,C2,0cm2.5cm,1.25,DNA,1,1,16S
S2500m-MC05-C2-2.5cm5cm-DNA-Rep1-OC01,OC1703A,Sample,2500,MC05,C2,2.5cm5cm,3.75,DNA,1,1,16S
S2500m-MC05-C2-5cm10cm-DNA-Rep1-OC01,OC1703A,Sample,2500,MC05,C2,5cm10cm,7.5,DNA,1,1,16S
S2500m-MC05-C2-10cm15cm-DNA-Rep1-OC01,OC1703A,Sample,2500,MC05,C2,10cm15cm,12.5,DNA,1,1,16S
NA-Negative-NA-NA-NA-Rep5-OC01,OC1703A,Blank,NA,NA,NA,NA,NA,NA,NA,1,16S
S2500m-MC05-C6-15cm20cm-cDNA-Rep1-OC01,OC1703A,Sample,2500,MC05,C6,15cm20cm,17.5,cDNA,1,1,16S
S2500m-MC05-C6-20cm25cm-cDNA-Rep1-OC01,OC1703A,Sample,2500,MC05,C6,20cm25cm,22.5,cDNA,1,1,16S
S2500m-MC05-C2-0cm2.5cm-cDNA-Rep1-OC01,OC1703A,Sample,2500,MC05,C2,0cm2.5cm,1.25,cDNA,1,1,16S
S2500m-MC05-C2-2.5cm5cm-cDNA-Rep1-OC01,OC1703A,Sample,2500,MC05,C2,2.5cm5cm,3.75,cDNA,1,1,16S
S2500m-MC05-C2-5cm10cm-cDNA-Rep1-OC01,OC1703A,Sample,2500,MC05,C2,5cm10cm,7.5,cDNA,1,1,16S
S2500m-MC05-C2-10cm15cm-cDNA-Rep1-OC01,OC1703A,Sample,2500,MC05,C2,10cm15cm,12.5,cDNA,1,1,16S
S2500m-MC05-C6-20cm25cm-DNA-Rep2-OC01,OC1703A,Sample,2500,MC05,C6,20cm25cm,22.5,DNA,2,1,16S
S2500m-MC05-C6-20cm25cm-cDNA-Rep2-OC01,OC1703A,Sample,2500,MC05,C6,20cm25cm,22.5,cDNA,2,1,16S
