SampleID,project,sample_type,site_depth_mbss,deployment,core,horizon_depth_cmbsf,mean_horizon_depth,nucl_acid,pcr_replicate,extraction_replicate,gene
S3000-GC11-1-0-5-DNA-Rep1-OC2,OC1703A,Sample,3000,GC11,C1,0cm5,2.5,DNA,1,1,16S
S3000-GC11-1-20-25-DNA-Rep1-OC2,OC1703A,Sample,3000,GC11,C1,20cm25,22.5,DNA,1,1,16S
S3000-GC11-1-40-45-DNA-Rep1-OC2,OC1703A,Sample,3000,GC11,C1,40cm45,42.5,DNA,1,1,16S
S3000-GC11-1-60-65-DNA-Rep1-OC2,OC1703A,Sample,3000,GC11,C1,60cm65,62.5,DNA,1,1,16S
S3000-GC11-1-80-85-DNA-Rep1-OC2,OC1703A,Sample,3000,GC11,C1,80cm85,82.5,DNA,1,1,16S
S3000-GC11-1-100-105-DNA-Rep1-OC2,OC1703A,Sample,3000,GC11,C1,100cm105,102.5,DNA,1,1,16S
S3000-GC11-1-120-125-DNA-Rep1-OC2,OC1703A,Sample,3000,GC11,C1,120cm125,122.5,DNA,1,1,16S
S3000-GC11-1-140-145-DNA-Rep1-OC2,OC1703A,Sample,3000,GC11,C1,140cm145,142.5,DNA,1,1,16S
S3000-GC11-1-160-165-DNA-Rep1-OC2,OC1703A,Sample,3000,GC11,C1,160cm165,162.5,DNA,1,1,16S
S3000-GC11-1-180-185-DNA-Rep1-OC2,OC1703A,Sample,3000,GC11,C1,180cm185,182.5,DNA,1,1,16S
S3000-GC11-1-0-5-cDNA-Rep1-OC2,OC1703A,Sample,3000,GC11,C1,0cm5,2.5,cDNA,1,1,16S
S3000-GC11-1-20-25-cDNA-Rep1-OC2,OC1703A,Sample,3000,GC11,C1,20cm25,22.5,cDNA,1,1,16S
S3000-GC11-1-40-45-cDNA-Rep1-OC2,OC1703A,Sample,3000,GC11,C1,40cm45,42.5,cDNA,1,1,16S
S3000-GC11-1-60-65-cDNA-Rep1-OC2,OC1703A,Sample,3000,GC11,C1,60cm65,62.5,cDNA,1,1,16S
S3000-GC11-1-80-85-cDNA-Rep1-OC2,OC1703A,Sample,3000,GC11,C1,80cm85,82.5,cDNA,1,1,16S
S3000-GC11-1-100-105-cDNA-Rep1-OC2,OC1703A,Sample,3000,GC11,C1,100cm105,102.5,cDNA,1,1,16S
S3000-GC11-1-120-125-cDNA-Rep1-OC2,OC1703A,Sample,3000,GC11,C1,120cm125,122.5,cDNA,1,1,16S
S3000-GC11-1-140-145-cDNA-Rep1-OC2,OC1703A,Sample,3000,GC11,C1,140cm145,142.5,cDNA,1,1,16S
S3000-GC11-1-160-165-cDNA-Rep1-OC2,OC1703A,Sample,3000,GC11,C1,160cm165,162.5,cDNA,1,1,16S
S3000-GC11-1-180-185-cDNA-Rep1-OC2,OC1703A,Sample,3000,GC11,C1,180cm185,182.5,cDNA,1,1,16S
S3000-GC11-1-100-105-DNA-Rep2-OC2,OC1703A,Sample,3000,GC11,C1,100cm105,102.5,DNA,2,1,16S
S3000-GC11-1-100-105-cDNA-Rep2-OC2,OC1703A,Sample,3000,GC11,C1,100cm105,102.5,cDNA,2,1,16S
S3000-GC11-1-180-185-DNA-Rep2-OC2,OC1703A,Sample,3000,GC11,C1,180cm185,182.5,DNA,2,1,16S
S3000-GC11-1-180-185-cDNA-Rep2-OC2,OC1703A,Sample,3000,GC11,C1,180cm185,182.5,cDNA,2,1,16S
S101-MC01-MC8-0-5-DNA-Rep1-OC2,OC1703A,Sample,100,MC01,C8,0cm5,2.5,DNA,1,1,16S
S101-MC01-MC8-5-10-DNA-Rep1-OC2,OC1703A,Sample,100,MC01,C8,5cm10,7.5,DNA,1,1,16S
S101-MC01-MC8-10-15-DNA-Rep1-OC2,OC1703A,Sample,100,MC01,C8,10cm15,12.5,DNA,1,1,16S
S101-MC01-MC8-15-20-DNA-Rep1-OC2,OC1703A,Sample,100,MC01,C8,15cm20,17.5,DNA,1,1,16S
S101-MC01-MC8-20-25-DNAa-Rep1-OC2,OC1703A,Sample,100,MC01,C8,20cm25,22.5,DNA,1,1,16S
S101-MC01-MC8-20-25-DNAb-Rep1-OC2,OC1703A,Sample,100,MC01,C8,20cm25,22.5,DNA,1,2,16S
S101-MC01-MC4-0-5-DNA-Rep1-OC2,OC1703A,Sample,100,MC01,C4,0cm5,2.5,DNA,1,1,16S
S101-MC01-MC4-5-10-DNA-Rep1-OC2,OC1703A,Sample,100,MC01,C4,5cm10,7.5,DNA,1,1,16S
