SampleID,ExperimentID
DL12-OC17-0101-EP,OC-BlankA-NA-NA-NA-NA-NA-nifH
DL12-OC17-0102-EP,OC-500-MC06-C5-2.5cm5cm-DNA-Rep1-nifH
DL12-OC17-0103-EP,OC-2500-MC05-C2-2.5cm5cm-DNA-Rep1-nifH
DL12-OC17-0104-EP,OC-3500-MC04-C6-2.5cm5cm-DNA-Rep1-nifH
DL12-OC17-0105-EP,AT36-NewEnglandSeep3-I-10-0cm3cm-DNA-Rep1-nifH
DL12-OC17-0106-EP,AT36-VeatchCanyon2-S-10-9cm12cm-DNA-Rep1-nifH
DL12-OC17-0107-EP,AT36-ShallopCanyonWest-I-3-6cm9cm-DNA-Rep1-nifH
DL12-OC17-0108-EP,OC-1000-GC08-C1-5cm10cm-DNA-Rep1-nifH
DL12-OC17-0109-EP,OC-2000-MC10-C3-0cm5cm-DNA-Rep1-nifH
DL12-OC17-0110-EP,OC-3000-GC11-C1-160cm165cm-DNA-Rep1-nifH
DL12-OC17-0201-EP,OC-100-MC01-C8-0cm5cm-DNA-Rep1-nifH
DL12-OC17-0202-EP,OC-BlankB-NA-NA-NA-NA-NA-nifH
DL12-OC17-0203-EP,OC-2500-MC05-C2-5cm10cm-DNA-Rep1-nifH
DL12-OC17-0204-EP,OC-3500-MC04-C6-5cm10cm-DNA-Rep1-nifH
DL12-OC17-0205-EP,AT36-NewEnglandSeep3-I-10-3cm6cm-DNA-Rep1-nifH
DL12-OC17-0206-EP,AT36-VeatchCanyon2-S-10-12cm15cm-DNA-Rep1-nifH
DL12-OC17-0207-EP,AT36-ShallopCanyonWest-I-3-9cm12cm-DNA-Rep1-nifH
DL12-OC17-0208-EP,OC-1000-GC08-C1-10cm15cm-DNA-Rep1-nifH
DL12-OC17-0209-EP,OC-2500-MC05-C6-5cm10cm-DNA-Rep1-nifH
DL12-OC17-0301-EP,OC-100-MC01-C8-5cm10cm-DNA-Rep1-nifH
DL12-OC17-0302-EP,OC-500-MC06-C5-5cm10cm-DNA-Rep1-nifH
DL12-OC17-0303-EP,OC-BlankC-NA-NA-NA-NA-NA-nifH
DL12-OC17-0304-EP,AT36-NewEnglandSeep3-A-1-0cm3cm-DNA-Rep1-nifH
DL12-OC17-0305-EP,AT36-NewEnglandSeep3-I-10-6cm9cm-DNA-Rep1-nifH
DL12-OC17-0306-EP,AT36-VeatchCanyon2-A-5-0cm3cm-DNA-Rep1-nifH
DL12-OC17-0307-EP,AT36-ShallopCanyonWest-I-3-12cm15cm-DNA-Rep1-nifH
DL12-OC17-0308-EP,OC-1000-GC08-C1-25cm30cm-DNA-Rep1-nifH
DL12-OC17-0309-EP,OC-2500-MC05-C6-10cm15cm-DNA-Rep1-nifH
DL12-OC17-0401-EP,OC-100-MC01-C8-10cm15cma-DNA-Rep1-nifH
DL12-OC17-0402-EP,OC-500-MC06-C5-10cm15cma-DNA-Rep1-nifH
DL12-OC17-0403-EP,OC-2500-MC05-C2-10cm15cm-DNA-Rep1-nifH
DL12-OC17-0404-EP,AT36-BlankD-NA-NA-NA-NA-NA-nifH
DL12-OC17-0405-EP,AT36-NewEnglandSeep3-I-10-9cm12cm-DNA-Rep1-nifH
DL12-OC17-0406-EP,AT36-VeatchCanyon2-A-5-3cm6cm-DNA-Rep1-nifH
DL12-OC17-0407-EP,AT36-ShallopCanyonWest-A-7-0cm3cm-DNA-Rep1-nifH
DL12-OC17-0408-EP,OC-1000-GC08-C1-57cm59cm-DNA-Rep1-nifH
DL12-OC17-0409-EP,OC-2500-MC05-C6-15cm20cm-DNA-Rep1-nifH
DL12-OC17-0501-EP,OC-100-MC01-C8-15cm20cm-DNA-Rep1-nifH
DL12-OC17-0502-EP,OC-1000-GC08-C1-0cm5cm-DNA-Rep1-nifH
DL12-OC17-0503-EP,OC-3000-MC07-C1-2.5cm5cm-DNA-Rep1-nifH
DL12-OC17-0504-EP,AT36-NewEnglandSeep3-A-1-3cm6cm-DNA-Rep1-nifH
DL12-OC17-0505-EP,AT36-BlankE2-NA-NA-NA-NA-NA-nifH
DL12-OC17-0506-EP,AT36-VeatchCanyon2-A-5-6cm9cm-DNA-Rep1-nifH
DL12-OC17-0507-EP,AT36-ShallopCanyonWest-A-7-3cm6cm-DNA-Rep1-nifH
DL12-OC17-0508-EP,OC-1000-GC08-C1-120cm125cm-DNA-Rep1-nifH
DL12-OC17-0509-EP,OC-2500-MC05-C2-15cm20cm-DNA-Rep1-nifH
DL12-OC17-0601-EP,OC-100-MC01-C8-20cm25cma-DNA-Rep1-nifH
DL12-OC17-0602-EP,OC-1500-GC09-C1-0cm5cm-DNA-Rep1-nifH
DL12-OC17-0603-EP,OC-3000-MC07-C1-5cm10cm-DNA-Rep1-nifH
DL12-OC17-0604-EP,AT36-NewEnglandSeep3-A-1-6cm9cm-DNA-Rep1-nifH
DL12-OC17-0605-EP,AT36-NewEnglandSeep3-I-10-12cm15cm-DNA-Rep1-nifH
DL12-OC17-0606-EP,AT36-BlankF-NA-NA-NA-NA-NA-nifH
DL12-OC17-0607-EP,AT36-ShallopCanyonWest-A-7-6cm9cm-DNA-Rep1-nifH
DL12-OC17-0608-EP,OC-1000-GC08-C1-153cm158cm-DNA-Rep1-nifH
DL12-OC17-0609-EP,OC-2500-MC05-C2-20cm25cm-DNA-Rep1-nifH
DL12-OC17-0701-EP,OC-100-MC01-C8-20cm25cmb-DNA-Rep1-nifH
DL12-OC17-0702-EP,OC-2000-MC10-C3-5cm10cm-DNA-Rep1-nifH
DL12-OC17-0703-EP,OC-3000-MC07-C1-10cm15cm-DNA-Rep1-nifH
DL12-OC17-0704-EP,AT36-NewEnglandSeep3-A-1-9cm12cm-DNA-Rep1-nifH
DL12-OC17-0705-EP,AT36-NewEnglandSeepOff -I-5-0cm3cm-DNA-Rep1-nifH
DL12-OC17-0706-EP,AT36-VeatchCanyon 2-A-5-9cm12cm-DNA-Rep1-nifH
DL12-OC17-0707-EP,AT36-BlankGredo-NA-NA-NA-NA-NA-nifH
DL12-OC17-0708-EP,OC-1000-GC08-C1-175cm178cm-DNA-Rep1-nifH
DL12-OC17-0709-EP,OC-3000-MC07-C1-15cm20cm-DNA-Rep1-nifH
DL12-OC17-0801-EP,OC-100-MC01-C4-0cm5cma-DNA-Rep1-nifH
DL12-OC17-0802-EP,OC-2000-MC10-C3-10cm15cm-DNA-Rep1-nifH
DL12-OC17-0803-EP,OC-3000-MC07-C5-2.5cm5cm-DNA-Rep1-nifH
DL12-OC17-0804-EP,AT36-NewEnglandSeep3-A-1-12cm15cm-DNA-Rep1-nifH
DL12-OC17-0805-EP,AT36-NewEnglandSeepOff -I-5-3cm6cm-DNA-Rep1-nifH
DL12-OC17-0806-EP,AT36-VeatchCanyon2-A-5-12cm15cm-DNA-Rep1-nifH
DL12-OC17-0807-EP,AT36-ShallopCanyonWest-A-7-9cm12cm-DNA-Rep1-nifH
DL12-OC17-0808-EP,OC-BlankH-NA-NA-NA-NA-Rep1-nifH
DL12-OC17-0809-EP,OC-3000-GC11-C1-20cm25cm-DNA-Rep1-nifH
DL12-OC17-0901-EP,OC-100-MC01-C4-5cm10cm-DNA-Rep1-nifH
DL12-OC17-0902-EP,OC-2000-MC10-C3-15cm20cm-DNA-Rep1-nifH
DL12-OC17-0903-EP,OC-3000-MC07-C5-5cm10cm-DNA-Rep1-nifH
DL12-OC17-0904-EP,AT36-NewEnglandSeep3-A-1-15+cm-DNA-Rep1-nifH
DL12-OC17-0905-EP,AT36-NewEnglandSeepOff -I-5-6cm9cm-DNA-Rep1-nifH
DL12-OC17-0906-EP,AT36-VeatchCanyon2-I-1-0cm3cm-DNA-Rep1-nifH
DL12-OC17-0907-EP,AT36-ShallopCanyonWest-A-7-12cm15cm-DNA-Rep1-nifH
DL12-OC17-0908-EP,OC-1000-GC08-C1-203cm208cm-DNA-Rep1-nifH
DL12-OC17-0909-EP,OC-BlankI-NA-NA-NA-NA-Rep1-nifH
DL12-OC17-1001-EP,OC-100-MC01-C4-10cm15cm-DNA-Rep1-nifH
DL12-OC17-1002-EP,OC-2000-MC10-C6-5cm10cm-DNA-Rep1-nifH
DL12-OC17-1003-EP,OC-3000-MC07-C5-10cm15cm-DNA-Rep1-nifH
DL12-OC17-1004-EP,AT36-NewEnglandSeep3-A-9-0cm3cm-DNA-Rep1-nifH
DL12-OC17-1005-EP,AT36-NewEnglandSeepOff -I-5-9cm12cm-DNA-Rep1-nifH
DL12-OC17-1006-EP,AT36-VeatchCanyon2-I-1-3cm6cm-DNA-Rep1-nifH
DL12-OC17-1007-EP,AT36-VeatchCanyon1and2-A-2-0cm3cm-DNA-Rep1-nifH
DL12-OC17-1008-EP,OC-1500-GC09-C1-10cm15cm-DNA-Rep1-nifH
DL12-OC17-1009-EP,OC-3000-GC11-C1-40cm45cm-DNA-Rep1-nifH
