SampleID,ExperimentID
DL12-OC17-1101-EP,OC-100-MC01-C4-15cm20cm-DNA-Rep1-nifH
DL12-OC17-1102-EP,OC-2000-MC10-C6-15cm20cm-DNA-Rep1-nifH
DL12-OC17-1103-EP,OC-3000-GC11-C1-0cm5cm-DNA-Rep1-nifH
DL12-OC17-1104-EP,AT36-NewEnglandSeep3-A-9-3cm6cm-DNA-Rep1-nifH
DL12-OC17-1105-EP,AT36-NewEnglandSeepOff -I-5-12cm15cm-DNA-Rep1-nifH
DL12-OC17-1106-EP,AT36-VeatchCanyon2-I-1-6cm9cm-DNA-Rep1-nifH
DL12-OC17-1107-EP,AT36-VeatchCanyon1and2-A-8-3cm6cm-DNA-Rep1-nifH
DL12-OC17-1108-EP,OC-1500-GC09-C1-15cm20cm-DNA-Rep1-nifH
DL12-OC17-1109-EP,OC-3000-GC11-C1-60cm65cm-DNA-Rep1-nifH
DL12-OC17-1201-EP,OC-500-MC06-C2-0cm2.5cm-DNA-Rep1-nifH
DL12-OC17-1202-EP,OC-2500-MC05-C6-0cm2.5cm-DNA-Rep1-nifH
DL12-OC17-1203-EP,OC-3500-MC04-C2-2.5cm5cm-DNA-Rep1-nifH
DL12-OC17-1204-EP,AT36-NewEnglandSeep3-A-9-6cm9cm-DNA-Rep1-nifH
DL12-OC17-1205-EP,AT36-ShallopCanyonEast-A-5-0cm3cm-DNA-Rep1-nifH
DL12-OC17-1206-EP,AT36-VeatchCanyon 2-I-1-9cm12cm-DNA-Rep1-nifH
DL12-OC17-1207-EP,AT36-ShallopCanyonOff-I-10-0cm3cm-DNA-Rep1-nifH
DL12-OC17-1208-EP,OC-1500-GC09-C1-20cm25cm-DNA-Rep1-nifH
DL12-OC17-1209-EP,OC-3000-GC11-C1-80cm85cm-DNA-Rep1-nifH
DL12-OC17-1301-EP,OC-500-MC06-C2-2.5cm5cm-DNA-Rep1-nifH
DL12-OC17-1302-EP,OC-2500-MC05-C6-2.5cm5cm-DNA-Rep1-nifH
DL12-OC17-1303-EP,OC-3500-MC04-C2-5cm10cm-DNA-Rep1-nifH
DL12-OC17-1304-EP,AT36-NewEnglandSeep3-A-9-9cm12cm-DNA-Rep1-nifH
DL12-OC17-1305-EP,AT36-ShallopCanyonEast-A-5-3cm6cm-DNA-Rep1-nifH
DL12-OC17-1306-EP,AT36-VeatchCanyon2-I-1-12cm15cm-DNA-Rep1-nifH
DL12-OC17-1307-EP,AT36-ShallopCanyonOff-I-10-3cm6cm-DNA-Rep1-nifH
DL12-OC17-1308-EP,OC-1500-GC09-C1-60cm65cm-DNA-Rep1-nifH
DL12-OC17-1309-EP,OC-3000-GC11-C1-100cm105cm-DNA-Rep1-nifH
DL12-OC17-1401-EP,OC-500-MC06-C2-5cm10cm-DNA-Rep1-nifH
DL12-OC17-1402-EP,OC-2500-MC05-C6-20cm25cm-DNA-Rep1-nifH
DL12-OC17-1403-EP,OC-3500-MC04-C2-10cm15cm-DNA-Rep1-nifH
DL12-OC17-1404-EP,AT36-NewEnglandSeep3-A-9-12cm15cm-DNA-Rep1-nifH
DL12-OC17-1405-EP,AT36-VeatchCanyon2-S-10-0cm3cm-DNA-Rep1-nifH
DL12-OC17-1406-EP,AT36-ShallopCanyonWest-I-3-0cm3cm-DNA-Rep1-nifH
DL12-OC17-1407-EP,AT36-ShallopCanyonOff-I-10-6cm9cm-DNA-Rep1-nifH
DL12-OC17-1408-EP,OC-1500-GC09-C1-90cm95cm-DNA-Rep1-nifH
DL12-OC17-1409-EP,OC-3000-GC11-C1-120cm125cm-DNA-Rep1-nifH
DL12-OC17-1501-EP,OC-500-MC06-C2-10cm15cm-DNA-Rep1-nifH
DL12-OC17-1502-EP,OC-2500-MC05-C2-0cm2.5cm-DNA-Rep1-nifH
DL12-OC17-1503-EP,OC-3500-MC04-C2-15cm20cm-DNA-Rep1-nifH
DL12-OC17-1504-EP,AT36-NewEnglandSeep3-A-9-15+cm-DNA-Rep1-nifH
DL12-OC17-1505-EP,AT36-VeatchCanyon2-S-10-3cm6cm-DNA-Rep1-nifH
DL12-OC17-1506-EP,AT36-ShallopCanyonWest-I-3-3cm6cm-DNA-Rep1-nifH
DL12-OC17-1507-EP,OC-100-MC01-C8-20cm25cma-DNA-Rep2-nifH
DL12-OC17-1508-EP,OC-1500-GC09-C1-120cm125cm-DNA-Rep1-nifH
DL12-OC17-1509-EP,OC-3000-GC11-C1-140cm145cm-DNA-Rep1-nifH
DL12-OC17-1601-EP,OC-500-MC06-C2-15cm20cm-DNA-Rep1-nifH
DL12-OC17-1602-EP,OC-MockA-NA-NA-NA-DNA-Rep1-nifH
DL12-OC17-1603-EP,OC-3500-MC04-C6-0cm2.5cm-DNA-Rep1-nifH
DL12-OC17-1604-EP,AT36-MockC-NA-NA-NA-DNA-NA-nifH
DL12-OC17-1605-EP,AT36-VeatchCanyon2-S-10-6cm9cm-DNA-Rep1-nifH
DL12-OC17-1606-EP,AT36-MockF-NA-NA-NA-DNA-NA-nifH
DL12-OC17-1607-EP,OC-MockGredo-NA-NA-NA-DNA-NA-nifH
DL12-OC17-1608-EP,OC-1500-GC09-C1-150cm155cm-DNA-Rep1-nifH
DL12-OC17-1609-EP,OC-MockH-NA-NA-NA-DNA-Rep1-nifH
DL12-OC17-0310-EP,OC-3500-MC04-C2-25cm30cma-DNA-Rep1-nifH
DL12-OC17-0410-EP,OC-3500-MC04-C2-25cm30cmb-DNA-Rep1-nifH
DL12-OC17-0510-EP,OC-3500-MC04-C6-10cm15cm-DNA-Rep1-nifH
DL12-OC17-0610-EP,OC-3500-MC04-C6-15cm20cm-DNA-Rep1-nifH
DL12-OC17-0710-EP,OC-3500-MC04-C6-20cm25cm-DNA-Rep1-nifH
DL12-OC17-0810-EP,OC-3500-MC04-C6-25cm30cm-DNA-Rep1-nifH
DL12-OC17-0910-EP,OC-4000-MC03-C2-5cm10cm-DNA-Rep1-nifH
DL12-OC17-1010-EP,OC-BlankJ-NA-NA-NA-DNA-Rep1-nifH
DL12-OC17-1110-EP,AT36-ShallopCanyonOff-I-10-9cm12cm-DNA-Rep2-nifH
DL12-OC17-1210-EP,AT36-VeatchCanyonOff-I-1-9cm12cm-DNA-Rep2-nifH
DL12-OC17-1310-EP,OC-4000-MC03-C6-5cm10cm-DNA-Rep2-nifH
DL12-OC17-1410-EP,OC-1000-GC08-C1-0cm5cm-DNA-Rep2-nifH
DL12-OC17-1510-EP,OC-4000-MC03-C6-5cm10cm-DNA-Rep1-nifH
DL12-OC17-1610-EP,OC-2000-MC10-C3-15cm20cm-DNA-Rep2-nifH
DL12-OC17-0111-EP,OC-4000-MC03-C6-15cm20cm-DNA-Rep1-nifH
DL12-OC17-0211-EP,OC-3000-MC07-C1-2.5cm5cm-DNA-Rep2-nifH
DL12-OC17-0311-EP,AT36-NewEnglandSeep3-A-1-6cm9cm-DNA-Rep2-nifH
DL12-OC17-0411-EP,AT36-NewEnglandSeepOff -I-5-0cm3cm-DNA-Rep2-nifH
DL12-OC17-0511-EP,AT36-ShallopCanyonEast-A-5-3cm6cm-DNA-Rep2-nifH
DL12-OC17-0611-EP,AT36-VeatchCanyonOff-I-1-0cm3cm-DNA-Rep1-nifH
DL12-OC17-0711-EP,AT36-VeatchCanyonOff-I-1-3cm6cm-DNA-Rep1-nifH
DL12-OC17-0811-EP,AT36-VeatchCanyonOff-I-1-6cm9cm-DNA-Rep1-nifH
DL12-OC17-0911-EP,AT36-VeatchCanyonOff-I-1-9cm12cm-DNA-Rep1-nifH
DL12-OC17-1011-EP,AT36-ShallopCanyonOff-I-10-9cm12cm-DNA-Rep1-nifH
DL12-OC17-1111-EP,OC-BlankF-NA-NA-NA-NA-NA-nifH
DL12-OC17-1211-EP,AT36-VeatchCanyonOff -I-16-3cm6cm-DNA-Rep1-nifH
DL12-OC17-1311-EP,AT36-VeatchCanyonOff -I-16-9cm12cm-DNA-Rep1-nifH
DL12-OC17-1411-EP,OC-MockJ-NA-NA-NA-DNA-NA-nifH
DL12-OC17-1511-EP,OC-1000-GC08-C1-203cm208cm-DNA-Rep2-nifH
DL12-OC17-1611-EP,OC-3000-MC07-C1-15cm20cm-DNA-Rep2-nifH
DL12-OC17-0112-EP,OC-100-MC01-C4-20cm25cm-DNA-Rep1-nifH
DL12-OC17-0212-EP,OC-500-MC06-C5-0cm2.5cm-DNA-Rep1-nifH
DL12-OC17-0312-EP,OC-2000-MC10-C6-0cm5cm-DNA-Rep1-nifH
DL12-OC17-0412-EP,OC-2000-MC10-C6-10cm15cm-DNA-Rep1-nifH
DL12-OC17-0512-EP,OC-3000-MC07-C1-0cm2.5cm-DNA-Rep1-nifH
DL12-OC17-0612-EP,OC-3000-MC07-C1-20cm25cm-DNA-Rep1-nifH
DL12-OC17-0712-EP,OC-3000-MC07-C5-0cm2.5cm-DNA-Rep1-nifH
DL12-OC17-0812-EP,OC-3000-MC07-C5-15cm20cm-DNA-Rep1-nifH
DL12-OC17-0912-EP,OC-3500-MC04-C2-0cm2.5cm-DNA-Rep1-nifH
DL12-OC17-1012-EP,OC-3500-MC04-C2-20cm25cm-DNA-Rep1-nifH
DL12-OC17-1112-EP,OC-4000-MC03-C2-0cm5cm-DNA-Rep1-nifH
DL12-OC17-1212-EP,OC-BlankZ-NA-NA-NA-NA-NA-nifH
DL12-OC17-1312-EP,OC-MockZ-NA-NA-NA-DNA-NA-nifH
DL12-OC17-1412-EP,OC-2000-MC10-C6-0cm5cm-DNA-Rep2-nifH
DL12-OC17-0113-EP,AT36-ShallopCanyonWest-I-3-12cm15cm-DNA-Rep1-nifH
DL12-OC17-0213-EP,AT36-VeatchCanyon1and2-A-8-3cm6cm-DNA-Rep1-nifH
DL12-OC17-0313-EP,AT36-VeatchCanyon2-S-10-3cm6cm-DNA-Rep2-nifH
DL12-OC17-0413-EP,AT36-MockY-NA-NA-NA-DNA-NA-nifH
DL12-OC17-1313-EP,OC-BlankRA2-NA-NA-NA-NA-NA-nifH
